#,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1,318,45,49,49,65,65,45,1,FALSE
2,405,60,62,63,80,80,60,1,FALSE
3,525,80,82,83,100,100,80,1,FALSE
3,625,80,100,123,122,120,80,1,FALSE
4,309,39,52,43,60,50,65,1,FALSE
5,405,58,64,58,80,65,80,1,FALSE
6,534,78,84,78,109,85,100,1,FALSE
6,634,78,130,111,130,85,100,1,FALSE
6,634,78,104,78,159,115,100,1,FALSE
7,314,44,48,65,50,64,43,1,FALSE
8,405,59,63,80,65,80,58,1,FALSE
9,530,79,83,100,85,105,78,1,FALSE
9,630,79,103,120,135,115,78,1,FALSE
10,195,45,30,35,20,20,45,1,FALSE
11,205,50,20,55,25,25,30,1,FALSE
12,395,60,45,50,90,80,70,1,FALSE
13,195,40,35,30,20,20,50,1,FALSE
14,205,45,25,50,25,25,35,1,FALSE
15,395,65,90,40,45,80,75,1,FALSE
15,495,65,150,40,15,80,145,1,FALSE
16,251,40,45,40,35,35,56,1,FALSE
17,349,63,60,55,50,50,71,1,FALSE
18,479,83,80,75,70,70,101,1,FALSE
18,579,83,80,80,135,80,121,1,FALSE
19,253,30,56,35,25,35,72,1,FALSE
20,413,55,81,60,50,70,97,1,FALSE
21,262,40,60,30,31,31,70,1,FALSE
22,442,65,90,65,61,61,100,1,FALSE
23,288,35,60,44,40,54,55,1,FALSE
24,438,60,85,69,65,79,80,1,FALSE
25,320,35,55,40,50,50,90,1,FALSE
26,485,60,90,55,90,80,110,1,FALSE
27,300,50,75,85,20,30,40,1,FALSE
28,450,75,100,110,45,55,65,1,FALSE
29,275,55,47,52,40,40,41,1,FALSE
30,365,70,62,67,55,55,56,1,FALSE
31,505,90,92,87,75,85,76,1,FALSE
32,273,46,57,40,40,40,50,1,FALSE
33,365,61,72,57,55,55,65,1,FALSE
34,505,81,102,77,85,75,85,1,FALSE
35,323,70,45,48,60,65,35,1,FALSE
36,483,95,70,73,95,90,60,1,FALSE
37,299,38,41,40,50,65,65,1,FALSE
38,505,73,76,75,81,100,100,1,FALSE
39,270,115,45,20,45,25,20,1,FALSE
40,435,140,70,45,85,50,45,1,FALSE
41,245,40,45,35,30,40,55,1,FALSE
42,455,75,80,70,65,75,90,1,FALSE
43,320,45,50,55,75,65,30,1,FALSE
44,395,60,65,70,85,75,40,1,FALSE
45,490,75,80,85,110,90,50,1,FALSE
46,285,35,70,55,45,55,25,1,FALSE
47,405,60,95,80,60,80,30,1,FALSE
48,305,60,55,50,40,55,45,1,FALSE
49,450,70,65,60,90,75,90,1,FALSE
50,265,10,55,25,35,45,95,1,FALSE
51,405,35,80,50,50,70,120,1,FALSE
52,290,40,45,35,40,40,90,1,FALSE
53,440,65,70,60,65,65,115,1,FALSE
54,320,50,52,48,65,50,55,1,FALSE
55,500,80,82,78,95,80,85,1,FALSE
56,305,40,80,35,35,45,70,1,FALSE
57,455,65,105,60,60,70,95,1,FALSE
58,350,55,70,45,70,50,60,1,FALSE
59,555,90,110,80,100,80,95,1,FALSE
60,300,40,50,40,40,40,90,1,FALSE
61,385,65,65,65,50,50,90,1,FALSE
62,510,90,95,95,70,90,70,1,FALSE
63,310,25,20,15,105,55,90,1,FALSE
64,400,40,35,30,120,70,105,1,FALSE
65,500,55,50,45,135,95,120,1,FALSE
65,590,55,50,65,175,95,150,1,FALSE
66,305,70,80,50,35,35,35,1,FALSE
67,405,80,100,70,50,60,45,1,FALSE
68,505,90,130,80,65,85,55,1,FALSE
69,300,50,75,35,70,30,40,1,FALSE
70,390,65,90,50,85,45,55,1,FALSE
71,490,80,105,65,100,70,70,1,FALSE
72,335,40,40,35,50,100,70,1,FALSE
73,515,80,70,65,80,120,100,1,FALSE
74,300,40,80,100,30,30,20,1,FALSE
75,390,55,95,115,45,45,35,1,FALSE
76,495,80,120,130,55,65,45,1,FALSE
77,410,50,85,55,65,65,90,1,FALSE
78,500,65,100,70,80,80,105,1,FALSE
79,315,90,65,65,40,40,15,1,FALSE
80,490,95,75,110,100,80,30,1,FALSE
80,590,95,75,180,130,80,30,1,FALSE
81,325,25,35,70,95,55,45,1,FALSE
82,465,50,60,95,120,70,70,1,FALSE
83,352,52,65,55,58,62,60,1,FALSE
84,310,35,85,45,35,35,75,1,FALSE
85,460,60,110,70,60,60,100,1,FALSE
86,325,65,45,55,45,70,45,1,FALSE
87,475,90,70,80,70,95,70,1,FALSE
88,325,80,80,50,40,50,25,1,FALSE
89,500,105,105,75,65,100,50,1,FALSE
90,305,30,65,100,45,25,40,1,FALSE
91,525,50,95,180,85,45,70,1,FALSE
92,310,30,35,30,100,35,80,1,FALSE
93,405,45,50,45,115,55,95,1,FALSE
94,500,60,65,60,130,75,110,1,FALSE
94,600,60,65,80,170,95,130,1,FALSE
95,385,35,45,160,30,45,70,1,FALSE
96,328,60,48,45,43,90,42,1,FALSE
97,483,85,73,70,73,115,67,1,FALSE
98,325,30,105,90,25,25,50,1,FALSE
99,475,55,130,115,50,50,75,1,FALSE
100,330,40,30,50,55,55,100,1,FALSE
101,480,60,50,70,80,80,140,1,FALSE
102,325,60,40,80,60,45,40,1,FALSE
103,520,95,95,85,125,65,55,1,FALSE
104,320,50,50,95,40,50,35,1,FALSE
105,425,60,80,110,50,80,45,1,FALSE
106,455,50,120,53,35,110,87,1,FALSE
107,455,50,105,79,35,110,76,1,FALSE
108,385,90,55,75,60,75,30,1,FALSE
109,340,40,65,95,60,45,35,1,FALSE
110,490,65,90,120,85,70,60,1,FALSE
111,345,80,85,95,30,30,25,1,FALSE
112,485,105,130,120,45,45,40,1,FALSE
113,450,250,5,5,35,105,50,1,FALSE
114,435,65,55,115,100,40,60,1,FALSE
115,490,105,95,80,40,80,90,1,FALSE
115,590,105,125,100,60,100,100,1,FALSE
116,295,30,40,70,70,25,60,1,FALSE
117,440,55,65,95,95,45,85,1,FALSE
118,320,45,67,60,35,50,63,1,FALSE
119,450,80,92,65,65,80,68,1,FALSE
120,340,30,45,55,70,55,85,1,FALSE
121,520,60,75,85,100,85,115,1,FALSE
122,460,40,45,65,100,120,90,1,FALSE
123,500,70,110,80,55,80,105,1,FALSE
124,455,65,50,35,115,95,95,1,FALSE
125,490,65,83,57,95,85,105,1,FALSE
126,495,65,95,57,100,85,93,1,FALSE
127,500,65,125,100,55,70,85,1,FALSE
127,600,65,155,120,65,90,105,1,FALSE
128,490,75,100,95,40,70,110,1,FALSE
129,200,20,10,55,15,20,80,1,FALSE
130,540,95,125,79,60,100,81,1,FALSE
130,640,95,155,109,70,130,81,1,FALSE
131,535,130,85,80,85,95,60,1,FALSE
132,288,48,48,48,48,48,48,1,FALSE
133,325,55,55,50,45,65,55,1,FALSE
134,525,130,65,60,110,95,65,1,FALSE
135,525,65,65,60,110,95,130,1,FALSE
136,525,65,130,60,95,110,65,1,FALSE
137,395,65,60,70,85,75,40,1,FALSE
138,355,35,40,100,90,55,35,1,FALSE
139,495,70,60,125,115,70,55,1,FALSE
140,355,30,80,90,55,45,55,1,FALSE
141,495,60,115,105,65,70,80,1,FALSE
142,515,80,105,65,60,75,130,1,FALSE
142,615,80,135,85,70,95,150,1,FALSE
143,540,160,110,65,65,110,30,1,FALSE
144,580,90,85,100,95,125,85,1,TRUE
145,580,90,90,85,125,90,100,1,TRUE
146,580,90,100,90,125,85,90,1,TRUE
147,300,41,64,45,50,50,50,1,FALSE
148,420,61,84,65,70,70,70,1,FALSE
149,600,91,134,95,100,100,80,1,FALSE
150,680,106,110,90,154,90,130,1,TRUE
150,780,106,190,100,154,100,130,1,TRUE
150,780,106,150,70,194,120,140,1,TRUE
151,600,100,100,100,100,100,100,1,FALSE
152,318,45,49,65,49,65,45,2,FALSE
153,405,60,62,80,63,80,60,2,FALSE
154,525,80,82,100,83,100,80,2,FALSE
155,309,39,52,43,60,50,65,2,FALSE
156,405,58,64,58,80,65,80,2,FALSE
157,534,78,84,78,109,85,100,2,FALSE
158,314,50,65,64,44,48,43,2,FALSE
159,405,65,80,80,59,63,58,2,FALSE
160,530,85,105,100,79,83,78,2,FALSE
161,215,35,46,34,35,45,20,2,FALSE
162,415,85,76,64,45,55,90,2,FALSE
163,262,60,30,30,36,56,50,2,FALSE
164,442,100,50,50,76,96,70,2,FALSE
165,265,40,20,30,40,80,55,2,FALSE
166,390,55,35,50,55,110,85,2,FALSE
167,250,40,60,40,40,40,30,2,FALSE
168,390,70,90,70,60,60,40,2,FALSE
169,535,85,90,80,70,80,130,2,FALSE
170,330,75,38,38,56,56,67,2,FALSE
171,460,125,58,58,76,76,67,2,FALSE
172,205,20,40,15,35,35,60,2,FALSE
173,218,50,25,28,45,55,15,2,FALSE
174,210,90,30,15,40,20,15,2,FALSE
175,245,35,20,65,40,65,20,2,FALSE
176,405,55,40,85,80,105,40,2,FALSE
177,320,40,50,45,70,45,70,2,FALSE
178,470,65,75,70,95,70,95,2,FALSE
179,280,55,40,40,65,45,35,2,FALSE
180,365,70,55,55,80,60,45,2,FALSE
181,510,90,75,85,115,90,55,2,FALSE
181,610,90,95,105,165,110,45,2,FALSE
182,490,75,80,95,90,100,50,2,FALSE
183,250,70,20,50,20,50,40,2,FALSE
184,420,100,50,80,60,80,50,2,FALSE
185,410,70,100,115,30,65,30,2,FALSE
186,500,90,75,75,90,100,70,2,FALSE
187,250,35,35,40,35,55,50,2,FALSE
188,340,55,45,50,45,65,80,2,FALSE
189,460,75,55,70,55,95,110,2,FALSE
190,360,55,70,55,40,55,85,2,FALSE
191,180,30,30,30,30,30,30,2,FALSE
192,425,75,75,55,105,85,30,2,FALSE
193,390,65,65,45,75,45,95,2,FALSE
194,210,55,45,45,25,25,15,2,FALSE
195,430,95,85,85,65,65,35,2,FALSE
196,525,65,65,60,130,95,110,2,FALSE
197,525,95,65,110,60,130,65,2,FALSE
198,405,60,85,42,85,42,91,2,FALSE
199,490,95,75,80,100,110,30,2,FALSE
200,435,60,60,60,85,85,85,2,FALSE
201,336,48,72,48,72,48,48,2,FALSE
202,405,190,33,58,33,58,33,2,FALSE
203,455,70,80,65,90,65,85,2,FALSE
204,290,50,65,90,35,35,15,2,FALSE
205,465,75,90,140,60,60,40,2,FALSE
206,415,100,70,70,65,65,45,2,FALSE
207,430,65,75,105,35,65,85,2,FALSE
208,510,75,85,200,55,65,30,2,FALSE
208,610,75,125,230,55,95,30,2,FALSE
209,300,60,80,50,40,40,30,2,FALSE
210,450,90,120,75,60,60,45,2,FALSE
211,430,65,95,75,55,55,85,2,FALSE
212,500,70,130,100,55,80,65,2,FALSE
212,600,70,150,140,65,100,75,2,FALSE
213,505,20,10,230,10,230,5,2,FALSE
214,500,80,125,75,40,95,85,2,FALSE
214,600,80,185,115,40,105,75,2,FALSE
215,430,55,95,55,35,75,115,2,FALSE
216,330,60,80,50,50,50,40,2,FALSE
217,500,90,130,75,75,75,55,2,FALSE
218,250,40,40,40,70,40,20,2,FALSE
219,410,50,50,120,80,80,30,2,FALSE
220,250,50,50,40,30,30,50,2,FALSE
221,450,100,100,80,60,60,50,2,FALSE
222,380,55,55,85,65,85,35,2,FALSE
223,300,35,65,35,65,35,65,2,FALSE
224,480,75,105,75,105,75,45,2,FALSE
225,330,45,55,45,65,45,75,2,FALSE
226,465,65,40,70,80,140,70,2,FALSE
227,465,65,80,140,40,70,70,2,FALSE
228,330,45,60,30,80,50,65,2,FALSE
229,500,75,90,50,110,80,95,2,FALSE
229,600,75,90,90,140,90,115,2,FALSE
230,540,75,95,95,95,95,85,2,FALSE
231,330,90,60,60,40,40,40,2,FALSE
232,500,90,120,120,60,60,50,2,FALSE
233,515,85,80,90,105,95,60,2,FALSE
234,465,73,95,62,85,65,85,2,FALSE
235,250,55,20,35,20,45,75,2,FALSE
236,210,35,35,35,35,35,35,2,FALSE
237,455,50,95,95,35,110,70,2,FALSE
238,305,45,30,15,85,65,65,2,FALSE
239,360,45,63,37,65,55,95,2,FALSE
240,365,45,75,37,70,55,83,2,FALSE
241,490,95,80,105,40,70,100,2,FALSE
242,540,255,10,10,75,135,55,2,FALSE
243,580,90,85,75,115,100,115,2,TRUE
244,580,115,115,85,90,75,100,2,TRUE
245,580,100,75,115,90,115,85,2,TRUE
246,300,50,64,50,45,50,41,2,FALSE
247,410,70,84,70,65,70,51,2,FALSE
248,600,100,134,110,95,100,61,2,FALSE
248,700,100,164,150,95,120,71,2,FALSE
249,680,106,90,130,90,154,110,2,TRUE
250,680,106,130,90,110,154,90,2,TRUE
251,600,100,100,100,100,100,100,2,FALSE
252,310,40,45,35,65,55,70,3,FALSE
253,405,50,65,45,85,65,95,3,FALSE
254,530,70,85,65,105,85,120,3,FALSE
254,630,70,110,75,145,85,145,3,FALSE
255,310,45,60,40,70,50,45,3,FALSE
256,405,60,85,60,85,60,55,3,FALSE
257,530,80,120,70,110,70,80,3,FALSE
257,630,80,160,80,130,80,100,3,FALSE
258,310,50,70,50,50,50,40,3,FALSE
259,405,70,85,70,60,70,50,3,FALSE
260,535,100,110,90,85,90,60,3,FALSE
260,635,100,150,110,95,110,70,3,FALSE
261,220,35,55,35,30,30,35,3,FALSE
262,420,70,90,70,60,60,70,3,FALSE
263,240,38,30,41,30,41,60,3,FALSE
264,420,78,70,61,50,61,100,3,FALSE
265,195,45,45,35,20,30,20,3,FALSE
266,205,50,35,55,25,25,15,3,FALSE
267,395,60,70,50,100,50,65,3,FALSE
268,205,50,35,55,25,25,15,3,FALSE
269,385,60,50,70,50,90,65,3,FALSE
270,220,40,30,30,40,50,30,3,FALSE
271,340,60,50,50,60,70,50,3,FALSE
272,480,80,70,70,90,100,70,3,FALSE
273,220,40,40,50,30,30,30,3,FALSE
274,340,70,70,40,60,40,60,3,FALSE
275,480,90,100,60,90,60,80,3,FALSE
276,270,40,55,30,30,30,85,3,FALSE
277,430,60,85,60,50,50,125,3,FALSE
278,270,40,30,30,55,30,85,3,FALSE
279,430,60,50,100,85,70,65,3,FALSE
280,198,28,25,25,45,35,40,3,FALSE
281,278,38,35,35,65,55,50,3,FALSE
282,518,68,65,65,125,115,80,3,FALSE
282,618,68,85,65,165,135,100,3,FALSE
283,269,40,30,32,50,52,65,3,FALSE
284,414,70,60,62,80,82,60,3,FALSE
285,295,60,40,60,40,60,35,3,FALSE
286,460,60,130,80,60,60,70,3,FALSE
287,280,60,60,60,35,35,30,3,FALSE
288,440,80,80,80,55,55,90,3,FALSE
289,670,150,160,100,95,65,100,3,FALSE
290,266,31,45,90,30,30,40,3,FALSE
291,456,61,90,45,50,50,160,3,FALSE
292,236,1,90,45,30,30,40,3,FALSE
293,240,64,51,23,51,23,28,3,FALSE
294,360,84,71,43,71,43,48,3,FALSE
295,490,104,91,63,91,73,68,3,FALSE
296,237,72,60,30,20,30,25,3,FALSE
297,474,144,120,60,40,60,50,3,FALSE
298,190,50,20,40,20,40,20,3,FALSE
299,375,30,45,135,45,90,30,3,FALSE
300,260,50,45,45,35,35,50,3,FALSE
301,380,70,65,65,55,55,70,3,FALSE
302,380,50,75,75,65,65,50,3,FALSE
302,480,50,85,125,85,115,20,3,FALSE
303,380,50,85,85,55,55,50,3,FALSE
303,480,50,105,125,55,95,50,3,FALSE
304,330,50,70,100,40,40,30,3,FALSE
305,430,60,90,140,50,50,40,3,FALSE
306,530,70,110,180,60,60,50,3,FALSE
306,630,70,140,230,60,80,50,3,FALSE
307,280,30,40,55,40,55,60,3,FALSE
308,410,60,60,75,60,75,80,3,FALSE
308,510,60,100,85,80,85,100,3,FALSE
309,295,40,45,40,65,40,65,3,FALSE
310,475,70,75,60,105,60,105,3,FALSE
310,575,70,75,80,135,80,135,3,FALSE
311,405,60,50,40,85,75,95,3,FALSE
312,405,60,40,50,75,85,95,3,FALSE
313,400,65,73,55,47,75,85,3,FALSE
314,400,65,47,55,73,75,85,3,FALSE
315,400,50,60,45,100,80,65,3,FALSE
316,302,70,43,53,43,53,40,3,FALSE
317,467,100,73,83,73,83,55,3,FALSE
318,305,45,90,20,65,20,65,3,FALSE
319,460,70,120,40,95,40,95,3,FALSE
319,560,70,140,70,110,65,105,3,FALSE
320,400,130,70,35,70,35,60,3,FALSE
321,500,170,90,45,90,45,60,3,FALSE
322,305,60,60,40,65,45,35,3,FALSE
323,460,70,100,70,105,75,40,3,FALSE
323,560,70,120,100,145,105,20,3,FALSE
324,470,70,85,140,85,70,20,3,FALSE
325,330,60,25,35,70,80,60,3,FALSE
326,470,80,45,65,90,110,80,3,FALSE
327,360,60,60,60,60,60,60,3,FALSE
328,290,45,100,45,45,45,10,3,FALSE
329,340,50,70,50,50,50,70,3,FALSE
330,520,80,100,80,80,80,100,3,FALSE
331,335,50,85,40,85,40,35,3,FALSE
332,475,70,115,60,115,60,55,3,FALSE
333,310,45,40,60,40,75,50,3,FALSE
334,490,75,70,90,70,105,80,3,FALSE
334,590,75,110,110,110,105,80,3,FALSE
335,458,73,115,60,60,60,90,3,FALSE
336,458,73,100,60,100,60,65,3,FALSE
337,440,70,55,65,95,85,70,3,FALSE
338,440,70,95,85,55,65,70,3,FALSE
339,288,50,48,43,46,41,60,3,FALSE
340,468,110,78,73,76,71,60,3,FALSE
341,308,43,80,65,50,35,35,3,FALSE
342,468,63,120,85,90,55,55,3,FALSE
343,300,40,40,55,40,70,55,3,FALSE
344,500,60,70,105,70,120,75,3,FALSE
345,355,66,41,77,61,87,23,3,FALSE
346,495,86,81,97,81,107,43,3,FALSE
347,355,45,95,50,40,50,75,3,FALSE
348,495,75,125,100,70,80,45,3,FALSE
349,200,20,15,20,10,55,80,3,FALSE
350,540,95,60,79,100,125,81,3,FALSE
351,420,70,70,70,70,70,70,3,FALSE
352,440,60,90,70,60,120,40,3,FALSE
353,295,44,75,35,63,33,45,3,FALSE
354,455,64,115,65,83,63,65,3,FALSE
354,555,64,165,75,93,83,75,3,FALSE
355,295,20,40,90,30,90,25,3,FALSE
356,455,40,70,130,60,130,25,3,FALSE
357,460,99,68,83,72,87,51,3,FALSE
358,425,65,50,70,95,80,65,3,FALSE
359,465,65,130,60,75,60,75,3,FALSE
359,565,65,150,60,115,60,115,3,FALSE
360,260,95,23,48,23,48,23,3,FALSE
361,300,50,50,50,50,50,50,3,FALSE
362,480,80,80,80,80,80,80,3,FALSE
362,580,80,120,80,120,80,100,3,FALSE
363,290,70,40,50,55,50,25,3,FALSE
364,410,90,60,70,75,70,45,3,FALSE
365,530,110,80,90,95,90,65,3,FALSE
366,345,35,64,85,74,55,32,3,FALSE
